node_id,lat,lon,out_degree,in_degree
10651,-58.875,62.875,863,913
10657,-58.875,74.875,604,668
10658,-58.875,76.875,644,697
10659,-58.875,78.875,548,600
10661,-58.875,82.875,536,588
10664,-58.875,88.875,590,592
10665,-58.875,90.875,654,748
10666,-58.875,92.875,896,994
10667,-58.875,94.875,586,647
10680,-58.875,120.875,587,640
10703,-58.875,166.875,614,730
10710,-58.875,180.875,536,598
10718,-58.875,196.875,763,728
10768,-58.875,296.875,558,571
10798,-58.875,356.875,593,488
