node_id,lat,lon,out_degree,in_degree
10121,-52.875,82.875,286,334
10122,-52.875,84.875,358,354
10137,-52.875,114.875,315,282
10145,-52.875,130.875,290,306
10238,-52.875,316.875,310,215
10246,-52.875,332.875,283,317
10247,-52.875,334.875,298,362
10252,-52.875,344.875,627,630
10254,-52.875,348.875,297,293
10255,-52.875,350.875,506,533
10261,-54.875,2.875,447,494
10262,-54.875,4.875,352,344
10264,-54.875,8.875,278,254
10265,-54.875,10.875,286,277
10267,-54.875,14.875,282,257
10269,-54.875,18.875,322,289
10270,-54.875,20.875,329,276
10271,-54.875,22.875,385,403
10272,-54.875,24.875,417,391
10273,-54.875,26.875,707,668
10274,-54.875,28.875,304,310
10275,-54.875,30.875,403,426
10276,-54.875,32.875,313,279
10280,-54.875,40.875,361,269
10281,-54.875,42.875,349,248
10282,-54.875,44.875,332,292
10283,-54.875,46.875,408,265
10284,-54.875,48.875,423,344
10286,-54.875,52.875,460,401
10287,-54.875,54.875,302,241
10288,-54.875,56.875,289,245
10290,-54.875,60.875,290,244
10291,-54.875,62.875,455,424
10293,-54.875,66.875,277,297
10294,-54.875,68.875,434,507
10302,-54.875,84.875,308,326
10303,-54.875,86.875,362,364
10304,-54.875,88.875,419,464
10305,-54.875,90.875,294,342
10318,-54.875,116.875,269,252
10322,-54.875,124.875,345,306
10326,-54.875,132.875,273,285
10327,-54.875,134.875,340,314
10340,-54.875,160.875,271,218
10430,-54.875,340.875,324,365
10444,-56.875,8.875,278,301
10449,-56.875,18.875,290,234
10451,-56.875,22.875,288,301
10452,-56.875,24.875,357,347
10453,-56.875,26.875,441,454
10456,-56.875,32.875,304,318
10458,-56.875,36.875,373,357
10459,-56.875,38.875,272,283
10460,-56.875,40.875,564,477
10461,-56.875,42.875,444,357
10463,-56.875,46.875,402,370
10464,-56.875,48.875,313,317
10465,-56.875,50.875,389,365
10466,-56.875,52.875,373,331
10468,-56.875,56.875,522,412
10469,-56.875,58.875,357,308
10470,-56.875,60.875,549,564
10471,-56.875,62.875,518,501
10472,-56.875,64.875,601,595
10473,-56.875,66.875,655,631
10475,-56.875,70.875,432,505
10476,-56.875,72.875,322,379
10478,-56.875,76.875,284,331
10486,-56.875,92.875,276,310
10495,-56.875,110.875,346,449
10508,-56.875,136.875,427,439
10607,-56.875,334.875,453,424
10612,-56.875,344.875,298,367
10619,-56.875,358.875,373,390
10620,-58.875,0.875,321,282
10629,-58.875,18.875,329,286
10631,-58.875,22.875,507,500
10632,-58.875,24.875,487,504
10633,-58.875,26.875,751,698
10634,-58.875,28.875,307,329
10645,-58.875,50.875,396,410
10646,-58.875,52.875,322,311
10649,-58.875,58.875,480,401
10650,-58.875,60.875,427,405
10651,-58.875,62.875,356,416
10652,-58.875,64.875,390,398
10653,-58.875,66.875,532,533
10654,-58.875,68.875,400,442
10655,-58.875,70.875,352,398
10675,-58.875,110.875,294,366
10677,-58.875,114.875,276,383
10679,-58.875,118.875,439,498
10681,-58.875,122.875,464,464
